dataset,model,mitigation,seed,accuracy,cfs,sex_abs_spd,sex_abs_eod,race_abs_spd,race_abs_eod,max_marginal_abs_spd,max_marginal_abs_eod,intersectional_pr_range,intersectional_tpr_range,intersectional_fpr_range,n_intersectional_cells,min_cell_n,runtime_seconds,status,analysis_id,cross_label,intersectional,attr_a_abs_spd,attr_a_abs_eod,attr_b_abs_spd,attr_b_abs_eod,subgroup_pr_range,subgroup_tpr_range,subgroup_fpr_range,n_subgroup_cells
adult,xgboost,baseline,43,0.8728696453247351,[0.2130002],0.1535065922839178,0.0277777777777777,0.0513627611155362,0.0669899033921695,0.1535065922839178,0.0669899033921695,0.1889283049494063,0.1608810572687224,0.063732610732238,4,395,1.1715374,success,adult_sex_race,sex x race,True,0.1535065922839178,0.0277777777777777,0.0513627611155362,0.0669899033921695,0.1889283049494063,0.1608810572687224,0.063732610732238,4
adult,xgboost,baseline,44,0.8693382465837556,[0.2729103],0.1814997513738736,0.1197238304825411,0.0944523045110736,0.0392361111111111,0.1814997513738736,0.1197238304825411,0.23964108055356,0.2367313537526303,0.0785011979171103,4,418,1.1843411999999989,success,adult_sex_race,sex x race,True,0.1814997513738736,0.1197238304825411,0.0944523045110736,0.0392361111111111,0.23964108055356,0.2367313537526303,0.0785011979171103,4
adult,xgboost,baseline,45,0.8633502226316597,[0.2748167],0.1904215037799144,0.1107714069859028,0.0992992050684358,0.1225093746832877,0.1904215037799144,0.1225093746832877,0.238062882825751,0.2847273300409793,0.0838717403670548,4,412,1.2182772000000028,success,adult_sex_race,sex x race,True,0.1904215037799144,0.1107714069859028,0.0992992050684358,0.1225093746832877,0.238062882825751,0.2847273300409793,0.0838717403670548,4
adult,xgboost,baseline,46,0.8696453247351451,[0.26654293],0.1770208152920726,0.1054859459545737,0.1020049435435424,0.0821180555555555,0.1770208152920726,0.1054859459545737,0.2147727076485588,0.1180547188072093,0.0617539914022326,4,455,1.2382577999999995,success,adult_sex_race,sex x race,True,0.1770208152920726,0.1054859459545737,0.1020049435435424,0.0821180555555555,0.2147727076485588,0.1180547188072093,0.0617539914022326,4
adult,xgboost,baseline,47,0.8671886995240289,[0.27338004],0.1837203260724308,0.1065932322476824,0.0980662158073844,0.0522391008039824,0.1837203260724308,0.1065932322476824,0.2263952548524011,0.1514285714285714,0.0822623064101095,4,421,1.2069742000000012,success,adult_sex_race,sex x race,True,0.1837203260724308,0.1065932322476824,0.0980662158073844,0.0522391008039824,0.2263952548524011,0.1514285714285714,0.0822623064101095,4
adult,xgboost,baseline,48,0.8719484108705665,[0.27713708],0.1859314078499384,0.1292954622172927,0.081156330007591,0.0365371028489165,0.1859314078499384,0.1292954622172927,0.224713169886997,0.2305562547193556,0.0655553752974259,4,397,1.0888439000000003,success,adult_sex_race,sex x race,True,0.1859314078499384,0.1292954622172927,0.081156330007591,0.0365371028489165,0.224713169886997,0.2305562547193556,0.0655553752974259,4
adult,xgboost,baseline,49,0.8608935974205435,[0.22235585],0.1527075328926584,0.0444935869084476,0.0993013946610234,0.1359317960229463,0.1527075328926584,0.1359317960229463,0.2175438596491228,0.3156351791530945,0.0616999154918108,4,399,1.145143700000002,success,adult_sex_race,sex x race,True,0.1527075328926584,0.0444935869084476,0.0993013946610234,0.1359317960229463,0.2175438596491228,0.3156351791530945,0.0616999154918108,4
adult,xgboost,baseline,50,0.8694917856594503,[0.26519338],0.1769614600303033,0.1089965826358279,0.0629962128441396,0.0224838478104809,0.1769614600303033,0.1089965826358279,0.2051844472674874,0.2166666666666666,0.0654828153779833,4,435,1.1507502999999986,success,adult_sex_race,sex x race,True,0.1769614600303033,0.1089965826358279,0.0629962128441396,0.0224838478104809,0.2051844472674874,0.2166666666666666,0.0654828153779833,4
adult,xgboost,baseline,51,0.8751727314601566,[0.26038011],0.181653195593604,0.0824912064280594,0.0902831135800816,0.0053548505409866,0.181653195593604,0.0824912064280594,0.2243662391887861,0.0881389146379144,0.0721623009758603,4,420,1.143949499999998,success,adult_sex_race,sex x race,True,0.181653195593604,0.0824912064280594,0.0902831135800816,0.0053548505409866,0.2243662391887861,0.0881389146379144,0.0721623009758603,4
adult,xgboost,baseline,52,0.8682634730538922,[0.26806516],0.1833961850250201,0.1095975364612292,0.0784767298513641,0.056880520999326,0.1833961850250201,0.1095975364612292,0.2117638797865368,0.1859981933152665,0.0590943207781874,4,440,1.0354354000000008,success,adult_sex_race,sex x race,True,0.1833961850250201,0.1095975364612292,0.0784767298513641,0.056880520999326,0.2117638797865368,0.1859981933152665,0.0590943207781874,4
adult,xgboost,baseline,53,0.8731767234761246,[0.2584913],0.1802853484285247,0.0807541241162608,0.1038886534763193,0.073447255997371,0.1802853484285247,0.0807541241162608,0.2245341769629334,0.1486482956771582,0.0767792207792207,4,416,1.1193357999999982,success,adult_sex_race,sex x race,True,0.1802853484285247,0.0807541241162608,0.1038886534763193,0.073447255997371,0.2245341769629334,0.1486482956771582,0.0767792207792207,4
adult,xgboost,baseline,54,0.865806847842776,[0.28018615],0.1758970613812238,0.1482644219795064,0.0896387016007225,0.0394088669950739,0.1758970613812238,0.1482644219795064,0.2092198458880808,0.1589693395846424,0.0715395934884576,4,452,1.1340643999999998,success,adult_sex_race,sex x race,True,0.1758970613812238,0.1482644219795064,0.0896387016007225,0.0394088669950739,0.2092198458880808,0.1589693395846424,0.0715395934884576,4
adult,xgboost,baseline,55,0.8653462306156917,[0.22622964],0.1612376503658385,0.0451000101976895,0.0912886206304963,0.0797377787462773,0.1612376503658385,0.0797377787462773,0.1945958109324446,0.1156883183641996,0.0717412935323383,4,440,1.119479499999997,success,adult_sex_race,sex x race,True,0.1612376503658385,0.0451000101976895,0.0912886206304963,0.0797377787462773,0.1945958109324446,0.1156883183641996,0.0717412935323383,4
adult,xgboost,baseline,56,0.8635037617073545,[0.25038977],0.1745666931353025,0.0753723724831801,0.061502982952815,0.0279512340172465,0.1745666931353025,0.0753723724831801,0.2093190576938146,0.1057899543378996,0.0743145236758375,4,438,1.072429800000002,success,adult_sex_race,sex x race,True,0.1745666931353025,0.0753723724831801,0.061502982952815,0.0279512340172465,0.2093190576938146,0.1057899543378996,0.0743145236758375,4
