dataset,protected_attribute,model,constraint,mitigation,seed,accuracy,abs_spd,abs_eod,cfs,runtime_seconds,status,error
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,60,0.8968196164117505,0.018344997202401892,0.02239859917555645,[0.09243732],33.772333300000355,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,61,0.8970623937848993,0.022090258188933592,0.05909241333664267,[0.09352353],29.945760300000074,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,62,0.8973051711580481,0.017016697655078065,0.028681946162145117,[0.11138497],30.71020580000004,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,63,0.8979121145909201,0.01571724949615179,0.035754286206599484,[0.14354577],29.228453400000035,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,64,0.8994901675163874,0.031216416121191342,0.0024951025878956756,[0.03311254],30.178020000000288,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,65,0.8986404467103666,0.025860165533041754,0.007210296036639974,[0.01763691],35.35515260000011,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,66,0.896698227725176,0.03506405526715679,0.03300679178215518,[0.10656456],30.275829300000623,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,67,0.8999757222626851,0.02369185335525427,0.013819513819513823,[0.04303591],29.81297000000086,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,68,0.9004612770089827,0.02456095931528638,0.0017511446702546396,[0.04542844],38.48198219999995,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,69,0.9009468317552805,0.018118589719608297,0.027991308447614938,[0.1039691],29.279581400000097,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,70,0.898761835396941,0.018126755438630487,0.04438653098370149,[0.10294212],29.22009530000014,success,
bank_uci,age_group,xgboost,DP,ExponentiatedGradient_DP,71,0.8970623937848993,0.028047583977092456,0.02489067412887802,[0.02791716],29.754677900000388,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,42,0.9007040543821316,0.033074375434435956,0.003611835210018538,[0.02120058],39.31594419999965,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,43,0.9021607186210245,0.04455805637045062,0.03577235772357726,[0.11110653],45.5922886999997,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,44,0.8990046127700898,0.04473413166396846,0.006123395540083482,[0.09787227],40.08943890000046,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,45,0.8985190580237922,0.06289326689054786,0.11892745309580827,[0.35529305],41.53617430000031,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,46,0.9011896091284293,0.04707847948037772,0.054020393023268415,[0.14187374],43.49893220000013,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,47,0.8949987861131342,0.054433980441357194,0.0714206773149488,[0.23094256],42.714438599999994,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,48,0.8980335032774945,0.04356022449407067,0.0730407523510972,[0.11186142],33.601371599999766,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,49,0.9009468317552805,0.04322814507991945,0.028735662134485418,[0.12668069],43.37770829999954,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,50,0.9003398883224083,0.056116121095446156,0.07483655290607874,[0.20134004],45.57814870000038,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,51,0.896091284292304,0.041240960420256476,0.040080880935133706,[0.08066476],53.670410800000354,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,52,0.8983976693372178,0.04256534045934221,0.05444322839545915,[0.09919673],33.558362200000374,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,53,0.8992473901432386,0.054524137313499664,0.0724363218320015,[0.22951413],43.75192479999987,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,54,0.8970623937848993,0.03223124928040202,0.014874183749758213,[0.05162863],44.35690900000009,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,55,0.8999757222626851,0.05684063192719042,0.08957613730687872,[0.21692059],44.32966160000069,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,56,0.8973051711580481,0.05242221059387487,0.08266188732174864,[0.20986962],45.136120899999696,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,57,0.9041029376062151,0.05027462235048486,0.04465196070497984,[0.15414195],44.4362457999996,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,58,0.902282107307599,0.051602528827495935,0.07943024717218264,[0.18550124],44.11102279999977,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,59,0.899368778829813,0.04458420890615358,0.035588604943443625,[0.10975143],48.440487900000335,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,60,0.8982762806506434,0.04415770666174443,0.010933518164336298,[0.08525996],52.597093099999256,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,61,0.8964554503520272,0.04329456716656151,0.003578224538760666,[0.06661921],41.97086080000008,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,62,0.9007040543821316,0.038029219051024674,0.031087019445833225,[0.06496948],43.946934800000236,success,
bank_uci,age_group,xgboost,EO,ExponentiatedGradient_EO,63,0.8996115562029618,0.03852781516159066,0.033406565003876953,[0.03706319],40.30610750000051,success,
