dataset,model,mitigation,protected_attribute,n_seeds,positive_rate_proxy,mean_accuracy,sd_accuracy,mean_abs_spd,sd_abs_spd,mean_abs_eod,sd_abs_eod,mean_abs_aod,sd_abs_aod,mean_abs_di_violation,sd_abs_di_violation,mean_cfs_original,sd_cfs_original,mean_cfs_no_di,sd_cfs_no_di,mean_cfs_di_clipped,sd_cfs_di_clipped,mean_cfs_four_fifths,sd_cfs_four_fifths
acs_income_ca_2018,xgboost,equalized_odds,age_group,30,,0.7802466666666666,0.004581276236380323,0.11208231378087491,0.011496406815470294,0.019294672319761372,0.014730228258909343,0.011491931636632785,0.006822994424883337,0.2540549873376055,0.023313000253712426,0.09923097626871863,0.011434483337948359,0.047622972579089685,0.008888559880733423,0.09923097626871863,0.011434483337948359,0.04923097626871865,0.011434483337948359
acs_income_ca_2018,xgboost,equalized_odds,sex,30,,0.8086566666666666,0.005033589473577057,0.07245191230228584,0.013754264232385158,0.011123280673729747,0.009793303746066592,0.00936744613017053,0.005517610729792111,0.16358524879176276,0.02883036488266815,0.06413197197448722,0.011827016944251183,0.030980879702062047,0.007118777709244459,0.06413197197448722,0.011827016944251183,0.02359787237748099,0.006170142921303389
acs_income_ca_2018,xgboost,reweighing,age_group,30,,0.8122333333333335,0.004167140202976657,0.19672052634827192,0.008304334740838694,0.08641056031361935,0.014636843137658005,0.07917484312156779,0.008426701083950081,0.408637219669752,0.014684683822090504,0.19273578736330282,0.010310981955823641,0.12076864326115301,0.009417928054199417,0.19273578736330282,0.010310981955823641,0.14273578736330275,0.010310981955823638
acs_income_ca_2018,xgboost,reweighing,sex,30,,0.8125266666666667,0.003966317960138791,0.05677530981497832,0.011284514289153242,0.02706572479199402,0.012463249203815457,0.019073644930556685,0.008388149391625877,0.1304389563119276,0.023841093354726135,0.05833840896236416,0.006099196848805363,0.03430489317917633,0.004816797688490379,0.05833840896236416,0.006099196848805363,0.025728669884382258,0.0036125982663677836
adult,gradient_boosting,baseline,age_group,30,,0.8617943599979528,0.00372241141009195,0.1698808319270986,0.00757963867671998,0.05503250394343207,0.031247678793906844,0.04817927829573036,0.016025340630366657,0.6869642961349667,0.021143687394043008,0.2400142275753069,0.016482496846554857,0.09103087138875371,0.016757499834947853,0.2400142275753069,0.016482496846554857,0.19001422757530687,0.016482496846554853
adult,gradient_boosting,baseline,race,30,,0.8617943599979528,0.00372241141009195,0.07462689485153659,0.014008215730814799,0.045482543963323394,0.03365493889806245,0.028838679323459324,0.0182390332246234,0.38998695902988917,0.06842839085674757,0.13473376929205214,0.027480471442750176,0.04964937271277311,0.019016658721416984,0.13473376929205214,0.027480471442750176,0.0847337692920521,0.02748047144275018
adult,gradient_boosting,baseline,sex,30,,0.8617943599979528,0.00372241141009195,0.16588991469375955,0.008094994824210184,0.09778467808164099,0.03038810435744077,0.07757175243761817,0.01568981252954753,0.7065568583356217,0.024404727944202627,0.26195080088716005,0.01799026501879414,0.11374878173767292,0.017280118404665566,0.26195080088716005,0.01799026501879414,0.2119508008871601,0.017990265018794145
adult,gradient_boosting,equalized_odds,age_group,30,,0.843344081068632,0.004499425781827092,0.11910364135443176,0.013518074844420051,0.038711740388038755,0.030699524280092847,0.01988395322658846,0.015218726225211573,0.5076359196702595,0.039837918205885,0.1713338136598296,0.01722824918442628,0.059233111656353,0.015256936560330748,0.1713338136598296,0.01722824918442628,0.12133381365982963,0.017228249184426284
adult,gradient_boosting,equalized_odds,race,30,,0.8540611085521264,0.0056768303786161696,0.049199890701660275,0.015621049441360087,0.04410061811349397,0.03747930531188649,0.02330891157196298,0.017687449414047023,0.271662542473929,0.07903281252065408,0.09706799071526154,0.027276056429973033,0.03886980679570574,0.01893942362222738,0.09706799071526154,0.027276056429973033,0.04920637005411784,0.024923215213374112
adult,gradient_boosting,equalized_odds,sex,30,,0.836982445365679,0.004880203386773093,0.0896376137658374,0.011420973952243466,0.026277862123958384,0.021510119629343488,0.01365069573388762,0.011354182748580448,0.440462421455316,0.04260459367502501,0.1425071482697498,0.014245181524581041,0.04318872387456114,0.011119762072875572,0.1425071482697498,0.014245181524581041,0.09250714826974986,0.014245181524581043
