run_block,dataset,dataset_variant,model,mitigation,protected_attribute,seed,n_rows,accuracy,precision,recall,f1,spd,di,eod,aod,cfs,acfs_balanced,runtime_seconds,status,error_message
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,44,41188,0.9004612770089827,0.6588235294117647,0.2413793103448276,0.3533123028391167,0.0446941165032949,2.372481827622015,0.0238473685033378,0.0229411872935315,0.3659911249805448,0.3659911249805448,12.35166410000238,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,45,41188,0.9007040543821316,0.6729559748427673,0.230603448275862,0.3434991974317816,0.0585644058177903,3.187513658216784,0.1399994737257585,0.0806950040368282,0.6166931354492902,0.6166931354492902,11.63889429999108,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,46,41188,0.9009468317552805,0.6666666666666666,0.2413793103448276,0.3544303797468354,0.0522234774148174,2.725999050036456,0.1017160247142215,0.0625130689329817,0.4856129052746191,0.4856129052746191,11.473557299992535,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,47,41188,0.8973051711580481,0.6385135135135135,0.2036637931034483,0.3088235294117647,0.0501095738069538,2.939240506329114,0.0824513854169407,0.0535447374412374,0.5313365507485616,0.5313365507485616,11.592990300006932,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,48,41188,0.90203932993445,0.6861538461538461,0.240301724137931,0.3559457302474061,0.0488735830478285,2.6401180585238317,0.0918495297805642,0.0556936062520771,0.4591336944010753,0.4591336944010753,11.638196600004449,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,49,41188,0.9025248846807478,0.7049180327868853,0.2316810344827586,0.3487429034874291,0.0453551067908385,2.623663524082901,0.0432702580164367,0.0323728974524294,0.4361654465856515,0.4361654465856515,12.615262899998925,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,50,41188,0.90203932993445,0.6805970149253732,0.2456896551724137,0.3610451306413301,0.0487996725603647,2.5776168653706155,0.0824746630556672,0.0505392442563992,0.4398576113107617,0.4398576113107617,11.835684199992102,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,51,41188,0.8994901675163874,0.6524390243902439,0.230603448275862,0.340764331210191,0.0475808930468223,2.582245839338748,0.0884166201983459,0.0529555716428197,0.4427997310566839,0.4427997310566839,13.357376399988423,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,52,41188,0.9017965525613012,0.6976744186046512,0.2262931034482758,0.3417412530512612,0.04527852172833,2.6278240433249884,0.0720401725358912,0.0449010205530036,0.4475109395355533,0.4475109395355533,12.660388000003875,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,53,41188,0.9019179412478756,0.6754385964912281,0.2489224137931034,0.3637795275590551,0.0574337105313231,2.900481481481482,0.0814228599875799,0.0525425110411231,0.5229701407603771,0.5229701407603771,12.472463199999764,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,54,41188,0.8997329448895363,0.6821428571428572,0.2058189655172413,0.3162251655629139,0.0383977485874018,2.46581172805163,0.0553194159072729,0.0350571009929821,0.3986464983848217,0.3986464983848217,12.47764029999962,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,55,41188,0.9009468317552805,0.6637426900584795,0.2446120689655172,0.3574803149606299,0.0494203762364302,2.5560358460727466,0.0588373898840603,0.0418473065276084,0.4265352296802114,0.4265352296802114,11.603662900000929,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,56,41188,0.8999757222626851,0.6625,0.2284482758620689,0.3397435897435897,0.0540199973994567,2.9444230932079183,0.0939868568014753,0.0589586361283867,0.5378471458843093,0.5378471458843093,11.244869500005734,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,57,41188,0.9047098810390872,0.7084548104956269,0.261853448275862,0.3823760818253344,0.0466865001139064,2.43772705699616,0.0640836826403837,0.0416507985394431,0.3975370095724733,0.3975370095724733,12.975879699995858,success,
optional_main_grid_extension,bank_uci,uci_bank_additional_full,gradient_boosting,reweighing,age_group,58,41188,0.9044671036659384,0.7311475409836066,0.240301724137931,0.3617193836171938,0.0511192698634761,2.904987028358692,0.1068496020108923,0.0612354037362092,0.5310478259923174,0.5310478259923174,11.114416299998991,success,
